scheme,m,t,puf_bits_used,noise_rate,noise_percent,flips_per_trial,successes,trials,success_rate,success_percent,ci95_low_percent,ci95_high_percent
BCH-A,8,8,192,0.02,2.0,4,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.025,2.5,5,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.03,3.0,6,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.035,3.5000000000000004,7,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.04,4.0,8,711,1000,0.711,71.1,68.21390163916011,73.82460324049421
BCH-A,8,8,192,0.045,4.5,9,11,1000,0.011,1.0999999999999999,0.6153110089114164,1.958959672837577
BCH-A,8,8,192,0.05,5.0,10,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.055,5.5,11,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.06,6.0,12,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.065,6.5,12,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.07,7.000000000000001,13,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.075,7.5,14,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.08,8.0,15,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.09,9.0,17,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.1,10.0,19,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.02,2.0,5,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.025,2.5,7,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.03,3.0,8,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.035,3.5000000000000004,10,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.04,4.0,11,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.045,4.5,12,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.05,5.0,14,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.055,5.5,15,733,1000,0.733,73.3,70.47265646086439,75.94901006500983
BCH-C,9,16,272,0.06,6.0,16,456,1000,0.456,45.6,42.535695507448295,48.697981200111954
BCH-C,9,16,272,0.065,6.5,18,2,1000,0.002,0.2,0.0548632102457155,0.7262958889587807
BCH-C,9,16,272,0.07,7.000000000000001,19,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.075,7.5,20,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.08,8.0,22,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.09,9.0,24,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.1,10.0,27,0,1000,0.0,0.0,0.0,0.3826898586390522
